open_access_repo,open_access,paper,catalyst,loading_g,temperature_K,gas_mix,flow_rate_mL_min,LHSV_h,WHSV_h,GHSV_h,pressure,conversion_pct,selectivity_pct
,,US9056811,CaHAP B-2,,523,100vol% Ethanol,,,,,101 kPa,,3.7
,,US9056811,CaHAP B-3,,523,100vol% Ethanol,,,,,91 kPa,,4.4
,,US9056811,CaHAP B-4,,523,100vol% Ethanol,,,,,81 kPa,,5
,,US9056811,CaHAP B-5,,523,100vol% Ethanol,,,,,51 kPa,,6.7
,,US9056811,CaHAP B-6,,523,100vol% Ethanol,,,,,20 kPa,,9.9
,,US9056811,CaHAP B-7,,523,100vol% Ethanol,,,,,5 kPa,,13.1
,,US9056811,CaHAP B-0,,548,100vol% Ethanol,,,,,507 kPa,,6
,,US9056811,CaHAP B-1,,548,100vol% Ethanol,,,,,203 kPa,,8.8
,,US9056811,CaHAP B-2,,548,100vol% Ethanol,,,,,101 kPa,,12.7
,,US9056811,CaHAP B-3,,548,100vol% Ethanol,,,,,91 kPa,,13.2
,,US9056811,CaHAP B-4,,548,100vol% Ethanol,,,,,81 kPa,,13.8
,,US9056811,CaHAP B-5,,548,100vol% Ethanol,,,,,51 kPa,,16.4
,,US9056811,CaHAP B-6,,548,100vol% Ethanol,,,,,20 kPa,,20.8
,,US9056811,CaHAP B-7,,548,100vol% Ethanol,,,,,5 kPa,,23.4
,,US9056811,CaHAP B-0,,573,100vol% Ethanol,,,,,507 kPa,,12.8
,,US9056811,CaHAP B-1,,573,100vol% Ethanol,,,,,203 kPa,,15.4
,,US9056811,CaHAP B-2,,573,100vol% Ethanol,,,,,101 kPa,,19.3
,,US9056811,CaHAP B-3,,573,100vol% Ethanol,,,,,91 kPa,,19.4
,,US9056811,CaHAP B-4,,573,100vol% Ethanol,,,,,81 kPa,,19.5
,,US9056811,CaHAP B-5,,573,100vol% Ethanol,,,,,51 kPa,,21
,,US9056811,CaHAP B-6,,573,100vol% Ethanol,,,,,20 kPa,,24
,,US9056811,CaHAP B-7,,573,100vol% Ethanol,,,,,5 kPa,,25.3
,,US9056811,CaHAP B-0,,598,100vol% Ethanol,,,,,507 kPa,,16.2
,,US9056811,CaHAP B-1,,598,100vol% Ethanol,,,,,203 kPa,,18.7
,,US9056811,CaHAP B-2,,598,100vol% Ethanol,,,,,101 kPa,,21.9
,,US9056811,CaHAP B-3,,598,100vol% Ethanol,,,,,91 kPa,,22.2
,,US9056811,CaHAP B-4,,598,100vol% Ethanol,,,,,81 kPa,,22.7
,,US9056811,CaHAP B-5,,598,100vol% Ethanol,,,,,51 kPa,,24
,,US9056811,CaHAP B-6,,598,100vol% Ethanol,,,,,20 kPa,,26.1
,,US9056811,CaHAP B-7,,598,100vol% Ethanol,,,,,5 kPa,,26.9
,,US9056811,CaHAP B-0,,623,100vol% Ethanol,,,,,507 kPa,,18
,,US9056811,CaHAP B-1,,623,100vol% Ethanol,,,,,203 kPa,,22.2
,,US9056811,CaHAP B-2,,623,100vol% Ethanol,,,,,101 kPa,,26.2
,,US9056811,CaHAP B-3,,623,100vol% Ethanol,,,,,91 kPa,,26.4
,,US9056811,CaHAP B-4,,623,100vol% Ethanol,,,,,81 kPa,,26.5
,,US9056811,CaHAP B-5,,623,100vol% Ethanol,,,,,51 kPa,,26.9
,,US9056811,CaHAP B-6,,623,100vol% Ethanol,,,,,20 kPa,,28.8
,,US9056811,CaHAP B-7,,623,100vol% Ethanol,,,,,5 kPa,,30.1
,,US9056811,CaHAP C-0,,623,100vol% Ethanol,,,,,507 kPa,,1.4
,,US9056811,CaHAP C-1,,623,100vol% Ethanol,,,,,203 kPa,,2.1
,,US9056811,CaHAP C-2,,623,100vol% Ethanol,,,,,101 kPa,,4
,,US9056811,CaHAP C-3,,623,100vol% Ethanol,,,,,51 kPa,,5.7
,,US9056811,CaHAP C-4,,623,100vol% Ethanol,,,,,20 kPa,,7
,,US9056811,CaHAP C-5,,623,100vol% Ethanol,,,,,5 kPa,,7.4
,,US9056811,CaHAP C-0,,648,100vol% Ethanol,,,,,507 kPa,,3.7
,,US9056811,CaHAP C-1,,648,100vol% Ethanol,,,,,203 kPa,,4
,,US9056811,CaHAP C-2,,648,100vol% Ethanol,,,,,101 kPa,,5.9
,,US9056811,CaHAP C-3,,648,100vol% Ethanol,,,,,51 kPa,,8.3
,,US9056811,CaHAP C-4,,648,100vol% Ethanol,,,,,20 kPa,,9.8
,,US9056811,CaHAP C-5,,648,100vol% Ethanol,,,,,5 kPa,,10
,,US9056811,CaHAP C-0,,673,100vol% Ethanol,,,,,507 kPa,,6.4
,,US9056811,CaHAP C-1,,673,100vol% Ethanol,,,,,203 kPa,,6.8
,,US9056811,CaHAP C-2,,673,100vol% Ethanol,,,,,101 kPa,,6.3
,,US9056811,CaHAP C-3,,673,100vol% Ethanol,,,,,51 kPa,,11.9
,,US9056811,CaHAP C-4,,673,100vol% Ethanol,,,,,20 kPa,,15.1
,,US9056811,CaHAP C-5,,673,100vol% Ethanol,,,,,5 kPa,,16
,,US9056811,CaHAP C-0,,698,100vol% Ethanol,,,,,507 kPa,,7.2
,,US9056811,CaHAP C-1,,698,100vol% Ethanol,,,,,203 kPa,,8.4
,,US9056811,CaHAP C-2,,698,100vol% Ethanol,,,,,101 kPa,,9.9
,,US9056811,CaHAP C-3,,698,100vol% Ethanol,,,,,51 kPa,,14.8
,,US9056811,CaHAP C-4,,698,100vol% Ethanol,,,,,20 kPa,,18.4
,,US9056811,CaHAP C-5,,698,100vol% Ethanol,,,,,5 kPa,,19.2
,,US9056811,CaHAP C-0,,723,100vol% Ethanol,,,,,507 kPa,,7.8
,,US9056811,CaHAP C-1,,723,100vol% Ethanol,,,,,203 kPa,,8.9
,,US9056811,CaHAP C-2,,723,100vol% Ethanol,,,,,101 kPa,,10.5
,,US9056811,CaHAP C-3,,723,100vol% Ethanol,,,,,51 kPa,,15.6
,,US9056811,CaHAP C-4,,723,100vol% Ethanol,,,,,20 kPa,,19.1
,,US9056811,CaHAP C-5,,723,100vol% Ethanol,,,,,5 kPa,,20.4
,,US9056811,CaHAP D-0,,473,100vol% Ethanol,,,,,507 kPa,,0
,,US9056811,CaHAP D-1,,473,100vol% Ethanol,,,,,203 kPa,,0
,,US9056811,CaHAP D-2,,473,100vol% Ethanol,,,,,101 kPa,,0.1
,,US9056811,CaHAP D-3,,473,100vol% Ethanol,,,,,91 kPa,,0.2
,,US9056811,CaHAP D-4,,473,100vol% Ethanol,,,,,81 kPa,,0.3
,,US9056811,CaHAP D-5,,473,100vol% Ethanol,,,,,51 kPa,,0.4
,,US9056811,CaHAP D-6,,473,100vol% Ethanol,,,,,20 kPa,,0.8
,,US9056811,CaHAP D-7,,473,100vol% Ethanol,,,,,5 kPa,,1.3
,,US9056811,CaHAP D-0,,498,100vol% Ethanol,,,,,507 kPa,,0.3
,,US9056811,CaHAP D-1,,498,100vol% Ethanol,,,,,203 kPa,,0.6
,,US9056811,CaHAP D-2,,498,100vol% Ethanol,,,,,101 kPa,,0.9
,,US9056811,CaHAP D-3,,498,100vol% Ethanol,,,,,91 kPa,,1.1
,,US9056811,CaHAP D-4,,498,100vol% Ethanol,,,,,81 kPa,,1.3
,,US9056811,CaHAP D-5,,498,100vol% Ethanol,,,,,51 kPa,,1.7
,,US9056811,CaHAP D-6,,498,100vol% Ethanol,,,,,20 kPa,,4.2
,,US9056811,CaHAP D-7,,498,100vol% Ethanol,,,,,5 kPa,,15.5
,,US9056811,CaHAP D-0,,523,100vol% Ethanol,,,,,507 kPa,,1.5
,,US9056811,CaHAP D-1,,523,100vol% Ethanol,,,,,203 kPa,,4.2
,,US9056811,CaHAP D-2,,523,100vol% Ethanol,,,,,101 kPa,,8.8
,,US9056811,CaHAP D-3,,523,100vol% Ethanol,,,,,91 kPa,,9.4
,,US9056811,CaHAP D-4,,523,100vol% Ethanol,,,,,81 kPa,,10.7
,,US9056811,CaHAP D-5,,523,100vol% Ethanol,,,,,51 kPa,,14.6
,,US9056811,CaHAP D-6,,523,100vol% Ethanol,,,,,20 kPa,,27.7
,,US9056811,CaHAP D-7,,523,100vol% Ethanol,,,,,5 kPa,,57.9
,,US9056811,CaHAP E-0,,523,100vol% Ethanol,,,,,507 kPa,,1.1
,,US9056811,CaHAP E-1,,523,100vol% Ethanol,,,,,203 kPa,,1.8
,,US9056811,CaHAP E-2,,523,100vol% Ethanol,,,,,101 kPa,,4.1
,,US9056811,CaHAP E-3,,523,100vol% Ethanol,,,,,91 kPa,,4.9
,,US9056811,CaHAP E-4,,523,100vol% Ethanol,,,,,81 kPa,,5.7
,,US9056811,CaHAP E-5,,523,100vol% Ethanol,,,,,51 kPa,,7.9
,,US9056811,CaHAP E-6,,523,100vol% Ethanol,,,,,20 kPa,,11.9
,,US9056811,CaHAP E-7,,523,100vol% Ethanol,,,,,5 kPa,,21.9
,,US9056811,CaHAP E-0,,548,100vol% Ethanol,,,,,507 kPa,,6.6
,,US9056811,CaHAP E-1,,548,100vol% Ethanol,,,,,203 kPa,,10.3
,,US9056811,CaHAP E-2,,548,100vol% Ethanol,,,,,101 kPa,,14.9
,,US9056811,CaHAP E-3,,548,100vol% Ethanol,,,,,91 kPa,,16
,,US9056811,CaHAP E-4,,548,100vol% Ethanol,,,,,81 kPa,,17.2
,,US9056811,CaHAP E-5,,548,100vol% Ethanol,,,,,51 kPa,,20.2
,,US9056811,CaHAP E-6,,548,100vol% Ethanol,,,,,20 kPa,,30.6
,,US9056811,CaHAP E-7,,548,100vol% Ethanol,,,,,5 kPa,,40.4
,,US9056811,CaHAP E-0,,573,100vol% Ethanol,,,,,507 kPa,,15.4
,,US9056811,CaHAP E-1,,573,100vol% Ethanol,,,,,203 kPa,,19.9
,,US9056811,CaHAP E-2,,573,100vol% Ethanol,,,,,101 kPa,,25
,,US9056811,CaHAP E-3,,573,100vol% Ethanol,,,,,91 kPa,,25.6
,,US9056811,CaHAP E-4,,573,100vol% Ethanol,,,,,81 kPa,,26.3
,,US9056811,CaHAP E-5,,573,100vol% Ethanol,,,,,51 kPa,,30.5
,,US9056811,CaHAP E-6,,573,100vol% Ethanol,,,,,20 kPa,,36.4
,,US9056811,CaHAP E-7,,573,100vol% Ethanol,,,,,5 kPa,,43.3
,,US9056811,CaHAP E-0,,598,100vol% Ethanol,,,,,507 kPa,,19.9
,,US9056811,CaHAP E-1,,598,100vol% Ethanol,,,,,203 kPa,,26.4
,,US9056811,CaHAP E-2,,598,100vol% Ethanol,,,,,101 kPa,,30.9
,,US9056811,CaHAP E-3,,598,100vol% Ethanol,,,,,91 kPa,,31.4
,,US9056811,CaHAP E-4,,598,100vol% Ethanol,,,,,81 kPa,,32.1
,,US9056811,CaHAP E-5,,598,100vol% Ethanol,,,,,51 kPa,,35.4
,,US9056811,CaHAP E-6,,598,100vol% Ethanol,,,,,20 kPa,,38.8
,,US9056811,CaHAP E-7,,598,100vol% Ethanol,,,,,5 kPa,,44.6
,,US9056811,CaHAP E-0,,623,100vol% Ethanol,,,,,507 kPa,,22.9
,,US9056811,CaHAP E-1,,623,100vol% Ethanol,,,,,203 kPa,,35.5
,,US9056811,CaHAP E-2,,623,100vol% Ethanol,,,,,101 kPa,,41.9
,,US9056811,CaHAP E-3,,623,100vol% Ethanol,,,,,91 kPa,,42.1
,,US9056811,CaHAP E-4,,623,100vol% Ethanol,,,,,81 kPa,,42.2
,,US9056811,CaHAP E-5,,623,100vol% Ethanol,,,,,51 kPa,,45
,,US9056811,CaHAP E-6,,623,100vol% Ethanol,,,,,20 kPa,,47.2
,,US9056811,CaHAP E-7,,623,100vol% Ethanol,,,,,5 kPa,,49.8
,,US9056811,CaHAP F-0,,623,100vol% Ethanol,,,,,507 kPa,,1.5
,,US9056811,CaHAP F-1,,623,100vol% Ethanol,,,,,203 kPa,,2.3
,,US9056811,CaHAP F-2,,623,100vol% Ethanol,,,,,101 kPa,,4.4
,,US9056811,CaHAP F-3,,623,100vol% Ethanol,,,,,51 kPa,,6.1
,,US9056811,CaHAP F-4,,623,100vol% Ethanol,,,,,20 kPa,,8
,,US9056811,CaHAP F-5,,623,100vol% Ethanol,,,,,5 kPa,,8.8
,,US9056811,CaHAP F-0,,648,100vol% Ethanol,,,,,507 kPa,,4.5
,,US9056811,CaHAP F-1,,648,100vol% Ethanol,,,,,203 kPa,,4.8
,,US9056811,CaHAP F-2,,648,100vol% Ethanol,,,,,101 kPa,,7.1
,,US9056811,CaHAP F-3,,648,100vol% Ethanol,,,,,51 kPa,,8.9
,,US9056811,CaHAP F-4,,648,100vol% Ethanol,,,,,20 kPa,,11.2
,,US9056811,CaHAP F-5,,648,100vol% Ethanol,,,,,5 kPa,,12.4
,,US9056811,CaHAP F-0,,673,100vol% Ethanol,,,,,507 kPa,,8.2
,,US9056811,CaHAP F-1,,673,100vol% Ethanol,,,,,203 kPa,,8.7
,,US9056811,CaHAP F-2,,673,100vol% Ethanol,,,,,101 kPa,,10.6
,,US9056811,CaHAP F-3,,673,100vol% Ethanol,,,,,51 kPa,,13.2
,,US9056811,CaHAP F-4,,673,100vol% Ethanol,,,,,20 kPa,,19.8
,,US9056811,CaHAP F-5,,673,100vol% Ethanol,,,,,5 kPa,,20.8
,,US9056811,CaHAP F-0,,698,100vol% Ethanol,,,,,507 kPa,,12.3
,,US9056811,CaHAP F-1,,698,100vol% Ethanol,,,,,203 kPa,,14.3
,,US9056811,CaHAP F-2,,698,100vol% Ethanol,,,,,101 kPa,,16.8
,,US9056811,CaHAP F-3,,698,100vol% Ethanol,,,,,51 kPa,,21.4
,,US9056811,CaHAP F-4,,698,100vol% Ethanol,,,,,20 kPa,,28.1
,,US9056811,CaHAP F-5,,698,100vol% Ethanol,,,,,5 kPa,,30.1
,,US9056811,CaHAP F-0,,723,100vol% Ethanol,,,,,507 kPa,,13.5
,,US9056811,CaHAP F-1,,723,100vol% Ethanol,,,,,203 kPa,,15.4
,,US9056811,CaHAP F-2,,723,100vol% Ethanol,,,,,101 kPa,,18.1
,,US9056811,CaHAP F-3,,723,100vol% Ethanol,,,,,51 kPa,,23.8
,,US9056811,CaHAP F-4,,723,100vol% Ethanol,,,,,20 kPa,,30.7
,,US9056811,CaHAP F-5,,723,100vol% Ethanol,,,,,5 kPa,,32.4
,,US9056811,CaHAP G-0,,523,95vol% Ethanol,,,,,507 kPa,,0.3
,,US9056811,CaHAP G-1,,523,95vol% Ethanol,,,,,203 kPa,,0.8
,,US9056811,CaHAP G-2,,523,95vol% Ethanol,,,,,101 kPa,,1.6
,,US9056811,CaHAP G-3,,523,95vol% Ethanol,,,,,51 kPa,,3.1
,,US9056811,CaHAP G-4,,523,95vol% Ethanol,,,,,20 kPa,,5
,,US9056811,CaHAP G-5,,523,95vol% Ethanol,,,,,5 kPa,,6.1
,,US9056811,CaHAP G-0,,548,95vol% Ethanol,,,,,507 kPa,,4.9
,,US9056811,CaHAP G-1,,548,95vol% Ethanol,,,,,203 kPa,,6.2
,,US9056811,CaHAP G-2,,548,95vol% Ethanol,,,,,101 kPa,,8.1
,,US9056811,CaHAP G-3,,548,95vol% Ethanol,,,,,51 kPa,,12.3
,,US9056811,CaHAP G-4,,548,95vol% Ethanol,,,,,20 kPa,,15.5
,,US9056811,CaHAP G-5,,548,95vol% Ethanol,,,,,5 kPa,,17.1
,,US9056811,CaHAP G-0,,573,95vol% Ethanol,,,,,507 kPa,,10.1
,,US9056811,CaHAP G-1,,573,95vol% Ethanol,,,,,203 kPa,,12.4
,,US9056811,CaHAP G-2,,573,95vol% Ethanol,,,,,101 kPa,,15.8
,,US9056811,CaHAP G-3,,573,95vol% Ethanol,,,,,51 kPa,,17.8
,,US9056811,CaHAP G-4,,573,95vol% Ethanol,,,,,20 kPa,,21
,,US9056811,CaHAP G-5,,573,95vol% Ethanol,,,,,5 kPa,,22.4
,,US9056811,CaHAP G-0,,573,95vol% Ethanol,,,,,507 kPa,,10.1
,,US9056811,CaHAP G-1,,573,95vol% Ethanol,,,,,203 kPa,,12.4
,,US9056811,CaHAP G-2,,573,95vol% Ethanol,,,,,101 kPa,,15.8
,,US9056811,CaHAP G-3,,573,95vol% Ethanol,,,,,51 kPa,,17.8
,,US9056811,CaHAP G-4,,573,95vol% Ethanol,,,,,20 kPa,,21
,,US9056811,CaHAP G-5,,573,95vol% Ethanol,,,,,5 kPa,,22.4
,,US9056811,CaHAP G-0,,598,95vol% Ethanol,,,,,507 kPa,,10.8
,,US9056811,CaHAP G-1,,598,95vol% Ethanol,,,,,203 kPa,,13.6
,,US9056811,CaHAP G-2,,598,95vol% Ethanol,,,,,101 kPa,,17.9
,,US9056811,CaHAP G-3,,598,95vol% Ethanol,,,,,51 kPa,,20.6
,,US9056811,CaHAP G-4,,598,95vol% Ethanol,,,,,20 kPa,,22.6
,,US9056811,CaHAP G-5,,598,95vol% Ethanol,,,,,5 kPa,,24.1
,,US9056811,CaHAP G-0,,623,95vol% Ethanol,,,,,507 kPa,,14.6
,,US9056811,CaHAP G-1,,623,95vol% Ethanol,,,,,203 kPa,,18.1
,,US9056811,CaHAP G-2,,623,95vol% Ethanol,,,,,101 kPa,,22.7
,,US9056811,CaHAP G-3,,623,95vol% Ethanol,,,,,51 kPa,,24.7
,,US9056811,CaHAP G-4,,623,95vol% Ethanol,,,,,20 kPa,,26
,,US9056811,CaHAP G-5,,623,95vol% Ethanol,,,,,5 kPa,,26.6
,,US9056811,CaHAP H-0,,523,95vol% Ethanol,,,,,507 kPa,,0.1
,,US9056811,CaHAP H-1,,523,95vol% Ethanol,,,,,203 kPa,,0.3
,,US9056811,CaHAP H-2,,523,95vol% Ethanol,,,,,101 kPa,,0.6
,,US9056811,CaHAP H-3,,523,95vol% Ethanol,,,,,51 kPa,,1.1
,,US9056811,CaHAP H-4,,523,95vol% Ethanol,,,,,20 kPa,,2.4
,,US9056811,CaHAP H-5,,523,95vol% Ethanol,,,,,5 kPa,,3.2
,,US9056811,CaHAP H-0,,548,95vol% Ethanol,,,,,507 kPa,,1.1
,,US9056811,CaHAP H-1,,548,95vol% Ethanol,,,,,203 kPa,,1.6
,,US9056811,CaHAP H-2,,548,95vol% Ethanol,,,,,101 kPa,,3.1
,,US9056811,CaHAP H-3,,548,95vol% Ethanol,,,,,51 kPa,,5.4
,,US9056811,CaHAP H-4,,548,95vol% Ethanol,,,,,20 kPa,,7.6
,,US9056811,CaHAP H-5,,548,95vol% Ethanol,,,,,5 kPa,,8.4
,,US9056811,CaHAP H-0,,573,95vol% Ethanol,,,,,507 kPa,,5
,,US9056811,CaHAP H-1,,573,95vol% Ethanol,,,,,203 kPa,,7.8
,,US9056811,CaHAP H-2,,573,95vol% Ethanol,,,,,101 kPa,,10.3
,,US9056811,CaHAP H-3,,573,95vol% Ethanol,,,,,51 kPa,,12.3
,,US9056811,CaHAP H-4,,573,95vol% Ethanol,,,,,20 kPa,,14.8
,,US9056811,CaHAP H-5,,573,95vol% Ethanol,,,,,5 kPa,,16.3
,,US9056811,CaHAP H-0,,598,95vol% Ethanol,,,,,507 kPa,,8
,,US9056811,CaHAP H-1,,598,95vol% Ethanol,,,,,203 kPa,,11.2
,,US9056811,CaHAP H-2,,598,95vol% Ethanol,,,,,101 kPa,,14.1
,,US9056811,CaHAP H-3,,598,95vol% Ethanol,,,,,51 kPa,,16.1
,,US9056811,CaHAP H-4,,598,95vol% Ethanol,,,,,20 kPa,,18.4
,,US9056811,CaHAP H-5,,598,95vol% Ethanol,,,,,5 kPa,,19.7
,,US9056811,CaHAP H-0,,623,95vol% Ethanol,,,,,507 kPa,,12.8
,,US9056811,CaHAP H-1,,623,95vol% Ethanol,,,,,203 kPa,,15.4
,,US9056811,CaHAP H-2,,623,95vol% Ethanol,,,,,101 kPa,,20.1
,,US9056811,CaHAP H-3,,623,95vol% Ethanol,,,,,51 kPa,,21.8
,,US9056811,CaHAP H-4,,623,95vol% Ethanol,,,,,20 kPa,,23.9
,,US9056811,CaHAP H-5,,623,95vol% Ethanol,,,,,5 kPa,,25.1
,,US9056811,Hydrotalcite I-0,,473,100vol% Ethanol,,,,,507 kPa,,0
,,US9056811,Hydrotalcite I-1,,473,100vol% Ethanol,,,,,203 kPa,,0
,,US9056811,Hydrotalcite I-2,,473,100vol% Ethanol,,,,,101 kPa,,0
,,US9056811,Hydrotalcite I-3,,473,100vol% Ethanol,,,,,51 kPa,,0.1
,,US9056811,Hydrotalcite I-4,,473,100vol% Ethanol,,,,,20 kPa,,0.1
,,US9056811,Hydrotalcite I-5,,473,100vol% Ethanol,,,,,5 kPa,,0.2
,,US9056811,Hydrotalcite I-0,,498,100vol% Ethanol,,,,,507 kPa,,0.1
,,US9056811,Hydrotalcite I-1,,498,100vol% Ethanol,,,,,203 kPa,,0.3
,,US9056811,Hydrotalcite I-2,,498,100vol% Ethanol,,,,,101 kPa,,0.4
,,US9056811,Hydrotalcite I-3,,498,100vol% Ethanol,,,,,51 kPa,,0.5
,,US9056811,Hydrotalcite I-4,,498,100vol% Ethanol,,,,,20 kPa,,0.7
,,US9056811,Hydrotalcite I-5,,498,100vol% Ethanol,,,,,5 kPa,,1.1
,,US9056811,Hydrotalcite I-0,,523,100vol% Ethanol,,,,,507 kPa,,2.1
,,US9056811,Hydrotalcite I-1,,523,100vol% Ethanol,,,,,203 kPa,,2.9
,,US9056811,Hydrotalcite I-2,,523,100vol% Ethanol,,,,,101 kPa,,3.5
,,US9056811,Hydrotalcite I-3,,523,100vol% Ethanol,,,,,51 kPa,,5.3
,,US9056811,Hydrotalcite I-4,,523,100vol% Ethanol,,,,,20 kPa,,7.2
,,US9056811,Hydrotalcite I-5,,523,100vol% Ethanol,,,,,5 kPa,,8.4
,,US9056811,Hydrotalcite I-0,,548,100vol% Ethanol,,,,,507 kPa,,4.7
,,US9056811,Hydrotalcite I-1,,548,100vol% Ethanol,,,,,203 kPa,,6.1
,,US9056811,Hydrotalcite I-2,,548,100vol% Ethanol,,,,,101 kPa,,8.9
,,US9056811,Hydrotalcite I-3,,548,100vol% Ethanol,,,,,51 kPa,,13.1
,,US9056811,Hydrotalcite I-4,,548,100vol% Ethanol,,,,,20 kPa,,17.6
,,US9056811,Hydrotalcite I-5,,548,100vol% Ethanol,,,,,5 kPa,,19.8
,,US9056811,Mg(OH)2 J-0,,523,100vol% Ethanol,,,,,507 kPa,,0
,,US9056811,Mg(OH)2 J-1,,523,100vol% Ethanol,,,,,203 kPa,,0
,,US9056811,Mg(OH)2 J-2,,523,100vol% Ethanol,,,,,101 kPa,,0
,,US9056811,Mg(OH)2 J-3,,523,100vol% Ethanol,,,,,51 kPa,,0
,,US9056811,Mg(OH)2 J-4,,523,100vol% Ethanol,,,,,20 kPa,,0.1
,,US9056811,Mg(OH)2 J-5,,523,100vol% Ethanol,,,,,5 kPa,,0.2
,,US9056811,Mg(OH)2 J-0,,548,100vol% Ethanol,,,,,507 kPa,,0.1
,,US9056811,Mg(OH)2 J-1,,548,100vol% Ethanol,,,,,203 kPa,,0.2
,,US9056811,Mg(OH)2 J-2,,548,100vol% Ethanol,,,,,101 kPa,,0.3
,,US9056811,Mg(OH)2 J-3,,548,100vol% Ethanol,,,,,51 kPa,,0.6
,,US9056811,Mg(OH)2 J-4,,548,100vol% Ethanol,,,,,20 kPa,,1
,,US9056811,Mg(OH)2 J-5,,548,100vol% Ethanol,,,,,5 kPa,,1.4
,,US9056811,Mg(OH)2 J-0,,573,100vol% Ethanol,,,,,507 kPa,,2.7
,,US9056811,Mg(OH)2 J-1,,573,100vol% Ethanol,,,,,203 kPa,,3.1
,,US9056811,Mg(OH)2 J-2,,573,100vol% Ethanol,,,,,101 kPa,,3.8
,,US9056811,Mg(OH)2 J-3,,573,100vol% Ethanol,,,,,51 kPa,,5
,,US9056811,Mg(OH)2 J-4,,573,100vol% Ethanol,,,,,20 kPa,,6.5
,,US9056811,Mg(OH)2 J-5,,573,100vol% Ethanol,,,,,5 kPa,,7.4
,,US9056811,Mg(OH)2 J-0,,598,100vol% Ethanol,,,,,507 kPa,,5.5
,,US9056811,Mg(OH)2 J-1,,598,100vol% Ethanol,,,,,203 kPa,,6.8
,,US9056811,Mg(OH)2 J-2,,598,100vol% Ethanol,,,,,101 kPa,,8.7
,,US9056811,Mg(OH)2 J-3,,598,100vol% Ethanol,,,,,51 kPa,,10.1
,,US9056811,Mg(OH)2 J-4,,598,100vol% Ethanol,,,,,20 kPa,,12.2
